# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
2,15158971,1511365,19662473,137990352,91121509,114645452,91046266,1720796159,92,9652763,16959847,69791652,152271,178412,2718666,192632795,1590733,0
3,15582456,1515306,19683880,137934791,91122330,114729198,91048652,1721272653,95,9992399,17385358,69759537,157062,180676,2787493,192853590,1595081,0
6,15970780,1512339,19701256,137870842,91125674,114795004,91050726,1721616842,116,10312214,17781909,69785698,162497,184019,2847807,193021686,1592166,0
10,16369600,1518270,19713186,137807737,91134449,114858404,91058883,1722004847,138,10642778,18183155,69767477,167509,185714,2906901,193198411,1592997,0
2,16796591,1513846,19729411,137749533,91142987,114965696,91067176,1722458043,65,10993221,18613431,69741076,173049,189085,2972903,193389992,1592013,0
6,17181307,1512968,19748746,137695857,91136183,115010902,91059695,1722723052,87,11308179,19001278,69781217,178852,189730,3032134,193537101,1594514,0
4,17567437,1511716,19755178,137612142,91150435,115055905,91074266,1723108576,80,11637770,19387799,69706754,184158,191587,3083938,193687414,1592391,0
5,17999267,1518359,19773058,137571844,91148627,115153675,91070941,1723534245,81,11991959,19825290,69690142,189363,193845,3148934,193877943,1594495,0
5,18417066,1514282,19789802,137537406,91159483,115192483,91082710,1723844365,100,12339574,20245175,69734338,195380,196165,3210733,194031605,1593567,0
7,18808411,1512789,19805812,137474777,91153023,115260601,91075881,1724096528,63,12672249,20636776,69721790,200512,197044,3260708,194165230,1594667,0
4,19208104,1511880,19819725,137430948,91162622,115308647,91085782,1724501836,82,13001033,21041676,69706864,206690,199976,3321031,194327943,1593931,0
2,19634183,1514303,19834396,137377033,91164594,115357092,91088860,1724814861,98,13361765,21471195,69711333,211652,201673,3378823,194485111,1592673,0
5,20001754,1513600,19838355,137345883,91171684,115401835,91096300,1725103065,64,13675124,21840309,69707566,217257,202956,3426844,194593763,1592845,0
7,20425052,1515577,19850408,137285946,91179050,115461760,91103097,1725421200,117,14034465,22263666,69778663,222130,203845,3484828,194753059,1591783,0
2,20876259,1518250,19865518,137255699,91179856,115520221,91102653,1725804229,95,14414464,22721668,69716453,228739,205962,3543283,194908467,1593055,0
